date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1990-12-19,96.05,99.98,99.98,95.79,1260.0,494000.0,0.0,0.0,0.0,0.0
1990-12-20,104.3,104.39,104.39,99.98,197.0,84000.0,4.41,4.41,4.41,0.0
1990-12-21,109.07,109.13,109.13,103.73,28.0,16000.0,5.17,4.54,4.74,0.0
1990-12-24,113.57,114.55,114.55,109.13,32.0,31000.0,4.97,4.97,5.42,0.0
1990-12-25,120.09,120.25,120.25,114.55,15.0,6000.0,4.98,4.98,5.7,0.0
1990-12-26,125.27,125.27,125.27,120.25,100.0,53000.0,4.17,4.17,5.02,0.0
1990-12-27,125.27,125.28,125.28,125.27,66.0,104000.0,0.01,0.01,0.01,0.0
1990-12-28,126.39,126.45,126.45,125.28,108.0,88000.0,0.93,0.93,1.17,0.0
1990-12-31,126.56,127.61,127.61,126.48,78.0,60000.0,0.89,0.92,1.16,0.0
1991-01-02,127.61,128.84,128.84,127.61,91.0,59000.0,0.96,0.96,1.23,0.0
1991-01-03,128.84,130.14,130.14,128.84,141.0,93000.0,1.01,1.01,1.3,0.0
1991-01-04,131.27,131.44,131.44,130.14,420.0,261000.0,1.0,1.0,1.3,0.0
1991-01-07,131.99,132.06,132.06,131.45,217.0,141000.0,0.46,0.47,0.62,0.0
1991-01-08,132.62,132.68,132.68,132.06,2926.0,1806000.0,0.47,0.47,0.62,0.0
1991-01-09,133.3,133.34,133.34,132.68,5603.0,3228000.0,0.5,0.5,0.66,0.0
1991-01-10,133.93,133.97,133.97,133.34,9990.0,5399000.0,0.47,0.47,0.63,0.0
1991-01-11,134.61,134.6,134.61,134.51,13327.0,7115000.0,0.07,0.47,0.63,0.0
1991-01-14,134.11,134.67,135.19,134.11,12530.0,6883000.0,0.8,0.05,0.07,0.0
1991-01-15,134.21,134.74,134.74,134.19,1446.0,1010000.0,0.41,0.05,0.07,0.0
1991-01-16,134.19,134.24,134.74,134.14,509.0,270000.0,0.45,-0.37,-0.5,0.0
1991-01-17,133.67,134.25,134.25,133.65,658.0,334000.0,0.45,0.01,0.01,0.0
1991-01-18,133.7,134.24,134.25,133.67,3004.0,1570000.0,0.43,-0.01,-0.01,0.0
1991-01-21,133.7,134.24,134.24,133.66,2051.0,1029000.0,0.43,0.0,0.0,0.0
1991-01-22,133.72,133.72,134.24,133.66,354.0,180000.0,0.43,-0.39,-0.52,0.0
1991-01-23,133.17,133.17,133.72,133.14,1095.0,575000.0,0.43,-0.41,-0.55,0.0
