date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1991-04-03,988.05,988.05,988.05,988.05,1.0,10000.0,0.0,0.0,0.0,0.0
1991-04-04,983.11,983.11,983.11,983.11,523.0,761000.0,0.0,-0.5,-4.94,0.0
1991-04-05,978.27,978.27,978.27,978.27,107.0,150000.0,0.0,-0.49,-4.84,0.0
1991-04-06,973.42,973.42,973.42,973.42,102.0,159000.0,0.0,-0.5,-4.85,0.0
1991-04-08,968.57,968.57,968.57,968.57,57.0,84000.0,0.0,-0.5,-4.85,0.0
1991-04-09,963.73,963.73,963.73,963.73,19.0,39000.0,0.0,-0.5,-4.84,0.0
1991-04-10,958.88,958.88,958.88,958.88,45.0,110000.0,0.0,-0.5,-4.85,0.0
1991-04-11,954.03,954.03,954.03,954.03,45.0,59000.0,0.0,-0.51,-4.85,0.0
1991-04-12,949.31,949.31,949.31,949.31,68.0,113000.0,0.0,-0.49,-4.72,0.0
1991-04-13,944.58,944.58,944.58,944.58,30.0,56000.0,0.0,-0.5,-4.73,0.0
1991-04-15,939.98,939.98,939.98,939.98,50.0,64000.0,0.0,-0.49,-4.6,0.0
1991-04-16,935.38,935.38,935.38,935.38,22.0,34000.0,0.0,-0.49,-4.6,0.0
1991-04-17,930.78,930.78,930.78,930.78,21.0,30000.0,0.0,-0.49,-4.6,0.0
1991-04-18,926.18,926.18,926.18,926.18,14.0,32000.0,0.0,-0.49,-4.6,0.0
1991-04-19,921.58,921.58,921.58,921.58,17.0,27000.0,0.0,-0.5,-4.6,0.0
1991-04-20,916.98,916.98,916.98,916.98,5.0,23000.0,0.0,-0.5,-4.6,0.0
1991-04-22,912.38,912.38,912.38,912.38,1.0,1000.0,0.0,-0.5,-4.6,0.0
1991-04-23,907.78,907.78,907.78,907.78,48.0,150000.0,0.0,-0.5,-4.6,0.0
1991-04-24,903.31,903.31,903.31,903.31,46.0,109000.0,0.0,-0.49,-4.47,0.0
1991-04-25,898.84,898.84,898.84,898.84,50.0,110000.0,0.0,-0.49,-4.47,0.0
1991-04-26,894.36,894.36,894.36,894.36,53.0,92000.0,0.0,-0.5,-4.48,0.0
1991-04-27,889.89,889.89,889.89,889.89,20.0,26000.0,0.0,-0.5,-4.47,0.0
1991-04-29,885.43,885.43,885.43,885.43,49.0,72000.0,0.0,-0.5,-4.46,0.0
1991-04-30,880.98,880.98,880.98,880.98,142.0,182000.0,0.0,-0.5,-4.45,0.0
1991-05-02,876.57,876.57,876.57,876.57,72.0,92000.0,0.0,-0.5,-4.41,0.0
1991-05-03,872.16,872.16,872.16,872.16,78.0,103000.0,0.0,-0.5,-4.41,0.0
1991-05-04,867.75,867.75,867.75,867.75,162.0,202000.0,0.0,-0.51,-4.41,0.0
1991-05-06,863.35,863.35,863.35,863.35,124.0,181000.0,0.0,-0.51,-4.4,0.0
1991-05-07,859.06,859.06,859.06,859.06,102.0,127000.0,0.0,-0.5,-4.29,0.0
1991-05-08,854.78,854.78,854.78,854.78,309.0,697000.0,0.0,-0.5,-4.28,0.0
1991-05-09,850.5,850.5,850.5,850.5,450.0,568000.0,0.0,-0.5,-4.28,0.0
1991-05-10,846.22,846.22,846.22,846.22,700.0,897000.0,0.0,-0.5,-4.28,0.0
1991-05-11,841.94,841.94,841.94,841.94,686.0,843000.0,0.0,-0.51,-4.28,0.0
1991-05-13,837.66,837.66,837.66,837.66,1554.0,1910000.0,0.0,-0.51,-4.28,0.0
1991-05-14,834.44,835.01,835.01,833.38,3160.0,3874000.0,0.19,-0.32,-2.65,0.0
1991-05-15,832.36,832.54,832.54,832.36,3957.0,5673000.0,0.02,-0.3,-2.47,0.0
1991-05-16,830.06,830.06,830.06,830.06,5918.0,8116000.0,0.0,-0.3,-2.48,0.0
1991-05-17,827.72,827.72,827.72,827.72,9014.0,11550000.0,0.0,-0.28,-2.34,0.0
1991-05-18,825.37,825.2,825.37,825.2,4180.0,5153000.0,0.02,-0.3,-2.52,0.0
1991-05-20,822.67,822.67,822.67,822.67,5631.0,6783000.0,0.0,-0.31,-2.53,0.0
1991-05-21,820.15,820.15,820.15,820.15,3708.0,4590000.0,0.0,-0.31,-2.52,0.0
1991-05-22,817.63,817.63,817.63,817.63,4533.0,5591000.0,0.0,-0.31,-2.52,0.0
1991-05-23,814.16,813.59,815.22,813.59,3267.0,4006000.0,0.2,-0.49,-4.04,0.0
1991-05-24,809.56,809.56,809.56,809.56,1008.0,1190000.0,0.0,-0.5,-4.03,0.0
1991-05-25,805.52,805.52,805.52,805.52,435.0,498000.0,0.0,-0.5,-4.04,0.0
1991-05-27,801.48,801.48,801.48,801.48,1320.0,1509000.0,0.0,-0.5,-4.04,0.0
