,date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
0,2006-07-05,1.06,0.88,1.12,0.85,17639020.0,6846112425.0,112.5,266.67,0.64,51.06
1,2006-07-06,0.84,0.82,0.85,0.79,3725565.0,1386100892.0,6.82,-6.82,-0.06,10.78
2,2006-07-07,0.82,0.78,0.83,0.76,2097986.0,773673491.0,8.54,-4.88,-0.04,6.07
3,2006-07-10,0.78,0.8,0.82,0.76,1127236.0,416198698.0,7.69,2.56,0.02,3.26
4,2006-07-11,0.81,0.84,0.87,0.77,1356451.0,502750832.0,12.5,5.0,0.04,3.93
5,2006-07-12,0.84,0.8,0.84,0.8,1007250.0,373950898.0,4.76,-4.76,-0.04,2.92
6,2006-07-13,0.8,0.71,0.8,0.7,2589898.0,942429333.0,12.5,-11.25,-0.09,7.5
7,2006-07-14,0.68,0.7,0.74,0.66,1189663.0,426321591.0,11.27,-1.41,-0.01,3.44
8,2006-07-17,0.69,0.69,0.7,0.66,674959.0,241009743.0,5.71,-1.43,-0.01,1.95
9,2006-07-18,0.7,0.68,0.7,0.65,572431.0,203499341.0,7.25,-1.45,-0.01,1.66
10,2006-07-19,0.68,0.62,0.68,0.6,952228.0,334635610.0,11.76,-8.82,-0.06,2.76
11,2006-07-20,0.61,0.63,0.64,0.61,531781.0,186634938.0,4.84,1.61,0.01,1.54
12,2006-07-21,0.63,0.63,0.66,0.61,606349.0,213124493.0,7.94,0.0,0.0,1.76
13,2006-07-24,0.6,0.58,0.61,0.57,667744.0,231387116.0,6.35,-7.94,-0.05,1.93
14,2006-07-25,0.58,0.59,0.61,0.58,528184.0,183392203.0,5.17,1.72,0.01,1.53
15,2006-07-26,0.59,0.57,0.59,0.55,744107.0,256198150.0,6.78,-3.39,-0.02,2.15
16,2006-07-27,0.57,0.6,0.65,0.56,925822.0,323081886.0,15.79,5.26,0.03,2.68
17,2006-07-28,0.6,0.57,0.6,0.55,591601.0,203845540.0,8.33,-5.0,-0.03,1.71
18,2006-07-31,0.56,0.49,0.57,0.47,893224.0,302049293.0,17.54,-14.04,-0.08,2.59
19,2006-08-01,0.49,0.45,0.49,0.44,884181.0,293918023.0,10.2,-8.16,-0.04,2.56
20,2006-08-02,0.44,0.48,0.49,0.42,1025118.0,339633521.0,15.56,6.67,0.03,2.97
21,2006-08-03,0.45,0.47,0.48,0.44,508897.0,169260939.0,8.33,-2.08,-0.01,1.47
22,2006-08-04,0.47,0.43,0.48,0.42,448242.0,148433255.0,12.77,-8.51,-0.04,1.3
23,2006-08-07,0.42,0.37,0.42,0.36,576078.0,187260773.0,13.95,-13.95,-0.06,1.67
24,2006-08-08,0.37,0.41,0.42,0.37,444212.0,144421127.0,13.51,10.81,0.04,1.29
25,2006-08-09,0.41,0.39,0.42,0.38,360779.0,117505383.0,9.76,-4.88,-0.02,1.04
26,2006-08-10,0.39,0.42,0.43,0.39,379386.0,124213515.0,10.26,7.69,0.03,1.1
27,2006-08-11,0.42,0.41,0.43,0.39,247081.0,80733985.0,9.52,-2.38,-0.01,0.72
